Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
Ähriger Blauweiderich	Pseudolysimachion spicatum (L.) Opiz
Ähriger Blauweiderich	Veronica spicata
Ähriger Ehrenpreis	Pseudolysimachion spicatum
Ähriger Ehrenpreis	Pseudolysimachion spicatum (L.) Opiz
Ähriger Ehrenpreis	Pseudolysimachion spicatum subsp. spicatum
Ähriger Ehrenpreis	Veronica spicata
Ähriger Ehrenpreis	Veronica spicata L.
Ähriger Ehrenpreis	Veronica spicata subsp. spicata
Ähriger Ehrenpreis	Veronica spicata subsp. spicata L.
Ähriger Erdbeerspinat	Blitum capitatum
Ähriger Erdbeerspinat	Blitum capitatum L.
ähriger Erdbeerspinat	Chenopodium capitatum
Ähriger Goldhafer	Trisetum spicatum
Ähriger Goldhafer	Trisetum spicatum (L.) K. Richt.
Ähriger Grannenhafer	Trisetum spicatum
Ähriger Grannenhafer	Trisetum spicatum (L.) K. Richt.
Ähriger-Blauweiderich	Veronica spicata
Ähriges Christophskraut	Actaea spicata
Ähriges Christophskraut	Actaea spicata L.
Ähriges Tausendblat	Myriophyllum spicatum
Ähriges Tausendblat	Myriophyllum spicatum L.
Ähriges Tausendblatt	Myriophyllum spicatum
Ähriges Tausendblatt	Myriophyllum spicatum L.
Aime-Tulpe	Tulipa aximensis
Aime-Tulpe	Tulipa aximensis E. P. Perrier & Songeon
Ajowan	Trachyspermum ammi
Akanthus	Acanthus mollis
Akanthus	Acanthus mollis L.
Akanthus	Acanthus spinosus
Akanthusblättrige Eberwurz	Carlina acanthifolia
Akanthusgewächse	Acanthaceae
Akanthusgewächse	Acanthhaceae
Akazie	Acacia dealbata
Akazie	Acacia decurrens
Akazie	Acacia erioloba
Akazie	Senegalia senegal
Akebie	Akebia quinata
Akebie	Akebia trifoliata
Akelei	Aquilegia
Akelei	Aquilegia buergeriana
Akelei	Aquilegia caerulea
Akelei	Aquilegia flabellata
Akelei	Aquilegia flabellata var. pumila
Akelei	Aquilegia flabellata var. pumila f. kurilensis
Akelei	Aquilegia formosa
Akelei	Aquilegia glandulosa
Akelei	Aquilegia nevadensis
Akelei	Aquilegia olympica
Akelei	Aquilegia oxysepala
Akelei	Aquilegia rockii
Akelei	Aquilegia viridiflora
Akelei	Aquilegia vulgaris
Akelei	Aquilegia vulgaris var. stellata plena
Akeleiblättrige Amstelraute	Thalictrum aquilegiifolium
Akeleiblättrige Wiesenraute	Thalictrum aquilegifolium
Akeleiblättrige Wiesenraute	Thalictrum aquilegiifolium
Akeleiblättrige Wiesenraute	Thalictrum aquilegiifolium L.
Akerschachtelhalm	Equisetum arvense
Akerwinde	Convolvulus arvensis
Akibaum	Blighia sapida
Alant	Dittrichia
Alant	Dittrichia graveolens
Alant	Inula
Alant	Inula britannica
Alant	Inula conyzae
Alant	Inula helenium
Alant	Inula orientalis
Alant	Inula orientalis grandiflora
Alant-Greiskraut	Tephroseris helenitis
Alant-Greiskraut	Tephroseris helenitis (L.) B. Nord.
Alant-Habichtskraut	Hieracium inuloides
Alant-Kratzdistel	Cirsium helenioides
Alant-Kratzdistel	Cirsium helenioides (L.) Hill
Alant-Kratzdistel	Cirsium heterophyllum
Alant-Pippau	Crepis conyzifolia
Alant-Pippau	Crepis conyzifolia (Gouan) A. Kern.
Alantblättriges Habichtskraut	Hieracium inuloides
Alantblättriges Habichtskraut	Hieracium inuloides Tausch
Alaska-Apfel	Malus fusca
Alaska-Silberwurz	Dryas drummondii
Alaska-Wohlverleih	Arnica chamissonis
Alaunwurz	Heuchera americana
Alaunwurz	Heuchera americana L.
albanische Moltkie	Paramoltkia doerfleri
Albert-Zungenblatt	Glottiphyllum nelii
Albertshofers Löwenzahn	Taraxacum albertshoferi
Albertshofers Löwenzahn	Taraxacum albertshoferi Sahlin
Aldrovande	Aldrovanda vesiculosa
Aldrovande	Aldrovanda vesiculosa L.
Aleppo-Kiefer	Pinus halepensis
Aleppo-Mohrenhirse	Sorghum halepense
Aleppo-Mohrenhirse	Sorghum halepense (L.) Pers.
Aleppo-Nelkenwurz	Geum aleppicum
Aleppo-Nelkenwurz	Geum aleppicum Jacq.
Aleppohirse	Sorghum halepense
Aleppohirse	Sorghum halepense (L.) Pers.
Alex. Brauns Schildfarn	Polystichum braunii
Alex. Brauns Schildfarn	Polystichum braunii (Spenn.) Fée
Alexanderpalme	Ptychosperma elegans
Alexandrapalme	Archontophoenix alexandrae
Alexandrapalme	Archontophoenix alexandrae (F. Muell.) H. Wendl. & Drude
Alexandriner Klee	Trifolium alexandrinum
Alexandriner Klee	Trifolium alexandrinum L.
Alexandriner-Klee	Trifolium alexandrinum
Alexandriner-Klee	Trifolium alexandrinum L.
alexandrinische Senna	Senna alexandrina
alexandrinischer Lorbeer	Calophyllum inophyllum
Alexandrinischer Lorbeer	Danae racemosa
Algarobalinse	Vicia articulata
Algenfarn	Azolla
Algenfarngewächse	Azollaceae
Algerische Eiche	Quercus canariensis
Algiermalve	Malva sylvestris
Algiermalve	Malva sylvestris ssp. mauritiana
Algiertanne	Abies numidica
Alismataceae	Froschlöffelgewächse
Alkali-Fallsame	Sporobolus airoides
Alkali-Fallsamengras	Sporobolus airoides
Alkannawurzel	Alkanna orientalis
Alkannawurzel	Alkanna tinctoria
Allamande	Allamanda blanchetii
Allamande	Allamanda cathartica
Allamande	Allamanda schottii
Allegheny-Brombeere	Rubus allegheniensis
Allegheny-Brombeere	Rubus allegheniensis Porter
Allegheny-Rosskastanie	Aesculus x hybrida
Alleghenybrombeere	Rubus allegheniensis
Alleghenybrombeere	Rubus allegheniensis Porter
