Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
Allemanns Gold-Hahnenfuss	Ranunculus allemannii
Allemanns Gold-Hahnenfuss	Ranunculus allemannii Braun-Blanq.
Allermannsharnisch	Allium victorialis
Allermannsharnisch	Allium victorialis L.
Allgäu-Frauenmantel	Alchemilla cleistophylla
Allgäuer Nachäffendes Habichtskraut	Hieracium simia
Allgäuer Nachäffendes Habichtskraut	Hieracium simia subsp. pseudalgoviae
Allgäuer Zwerg-Mehlbeere	Sorbus algoviensis
Alligatorapfel	Annona glabra
Allionis Ehrenpreis	Veronica allionii
Allionis Ehrenpreis	Veronica allionii Vill.
Allionis Fransen-Hauswurz	Jovibarba globifera
Allionis Fransen-Hauswurz	Jovibarba globifera subsp. allionii
Allionis Gänsekresse	Arabis allionii
Allionis Gänsekresse	Arabis allionii DC.
Allionis Glockenblume	Campanula alpestris
Allionis Glockenblume	Campanula alpestris All.
Allionis Läuserkraut	Pedicularis rosea
Allionis Läuserkraut	Pedicularis rosea subsp. allionii (Rchb. f.) Arcang.
Aloë	Aloe ferox
Aloe	Aloe vera
Alokasie	Alocasia macrorrhizos
Alokasie	Alocasia sanderiana
Alpen-Akelei	Aquilegia alpina
Alpen-Akelei	Aquilegia alpina L.
Alpen-Ampfer	Rumex alpinus
Alpen-Ampfer	Rumex alpinus L.
Alpen-Ampfer	Rumex pseudoalpinus
Alpen-Anemone	Pulsatilla alpina
Alpen-Anemone	Pulsatilla alpina (L.) Delarbre
Alpen-Anemone	Pulsatilla alpina (L.) Delarbre s.l.
Alpen-Anemone	Pulsatilla alpina (L.) Delarbre s.str.
Alpen-Aster	Aster alpinus
Alpen-Aster	Aster alpinus L.
Alpen-Augentrost	Euphrasia alpina
Alpen-Augentrost	Euphrasia alpina Lam.
Alpen-Augentrost	Euphrasia minima
Alpen-Aurikel	Primula auricula
Alpen-Aurikel	Primula auricula L.
Alpen-Bärentraube	Arctostaphylos alpina
Alpen-Bärentraube	Arctostaphylos alpina (L.) Spreng.
Alpen-Bärentraube	Arctostaphylos alpinus
Alpen-Bärlapp	Diphasiastrum alpinum
Alpen-Bärlapp	Diphasiastrum alpinum (L.) Holub
Alpen-Bartschie	Bartsia alpina
Alpen-Beifuss	Artemisia campestris
Alpen-Beifuss	Artemisia campestris subsp. alpina (DC.) Arcang.
Alpen-Bergflachs	Thesium alpinum
Alpen-Bergflachs	Thesium alpinum L.
Alpen-Bergscharte	Stemmacantha rhapontica
Alpen-Bergscharte	Stemmacantha rhapontica (L.) Dittrich
Alpen-Bergscharte	Stemmacantha rhapontica (L.) Dittrich s.l.
Alpen-Bergscharte	Stemmacantha rhapontica (L.) Dittrich s.str.
Alpen-Berufkraut	Erigeron alpinus
Alpen-Berufkraut	Erigeron alpinus agg.
Alpen-Berufkraut	Erigeron alpinus aggr.
Alpen-Berufkraut	Erigeron alpinus L.
Alpen-Betonie	Stachys pradica
Alpen-Betonie	Stachys pradica (Zanted.) Greuter & Pignatti
Alpen-Bibernelle	Pimpinella alpina
Alpen-Bibernelle	Pimpinella alpina Host
Alpen-Binse	Juncus alpinoarticulatus
Alpen-Binse	Juncus alpinoarticulatus Chaix
Alpen-Binse	Juncus alpinus
Alpen-Binse Gebirgs-Binse	Juncus alpinus
Alpen-Blacke	Rumex alpinus
Alpen-Blacke	Rumex alpinus L.
Alpen-Blasenfarn	Cystopteris alpina
Alpen-Blasenfarn	Cystopteris alpina (Lam.) Desv.
Alpen-Braun-Klee	Trifolium badium
Alpen-Braun-Klee	Trifolium badium Schreb.
Alpen-Braunklee	Trifolium badium
Alpen-Braunklee	Trifolium badium Schreb.
Alpen-Bruchkraut	Herniaria alpina
Alpen-Bruchkraut	Herniaria alpina Chaix
Alpen-Dach-Hauswurz	Sempervivum tectorum
Alpen-Dach-Hauswurz	Sempervivum tectorum subsp. alpinum (Griseb. & Schenk) Arcang.
Alpen-Dachhauswurz	Sempervivum tectorum
Alpen-Dachhauswurz	Sempervivum tectorum subsp. alpinum
Alpen-Distel	Carduus defloratus
Alpen-Distel	Carduus defloratus agg.
Alpen-Edelweiß	Leontopodium alpinum
Alpen-Edelweiß	Leontopodium nivale
Alpen-Ehrenpreis	Veronica alpina
Alpen-Ehrenpreis	Veronica alpina L.
Alpen-Ehrenpreis	Veronica alpina subsp. alpina
Alpen-Enzian	Gentiana alpina
Alpen-Enzian	Gentiana alpina Vill.
Alpen-Erle	Alnus viridis
Alpen-Erle	Alnus viridis (Chaix) DC.
Alpen-Feld-Beifuss	Artemisia campestris
Alpen-Feld-Beifuss	Artemisia campestris subsp. alpina (DC.) Arcang.
Alpen-Fettblatt	Pinguicula alpina
Alpen-Fettblatt	Pinguicula alpina L.
Alpen-Fetthenne	Sedum alpestre
Alpen-Fetthenne	Sedum alpestre Vill.
Alpen-Fettkraut	Pinguicula alpina
Alpen-Fettkraut	Pinguicula alpina L.
Alpen-Fingerkraut	Potentilla alpicola
Alpen-Fingerkraut	Potentilla alpicola Fauc.
Alpen-Flachbärlapp	Diphasiastrum alpinum
Alpen-Flachbärlapp	Diphasiastrum alpinum (L.) Holub
Alpen-Flachbärlapp	Lycopodium alpinum
Alpen-Flockenblume	Centaurea scabiosa
Alpen-Flockenblume	Centaurea scabiosa subsp. alpestris (Hegetschw.) Nyman
Alpen-Frauenfarn	Athyrium distentifolium
Alpen-Frauenmantel	Alchemilla alpina
Alpen-Frauenmantel	Alchemilla alpina agg.
Alpen-Frauenmantel	Alchemilla alpina aggr.
Alpen-Frauenmantel	Alchemilla alpina aggr. auct. helv.
Alpen-Frauenmantel	Alchemilla alpina aggr. sensu Heitz
Alpen-Frauenmantel	Alchemilla alpina L.
Alpen-Frühlingsmiere	Minuartia verna
Alpen-Frühlingsmiere	Minuartia verna subsp. gerardi
Alpen-Fuchs' Greiskraut	Senecio ovatus
Alpen-Fuchs' Greiskraut	Senecio ovatus subsp. alpestris
Alpen-Fuchs' Greiskraut	Senecio ovatus subsp. alpestris (Gaudin) Herborg
Alpen-Fuchsschwanz	Alopecurus alpinus
Alpen-Fuchsschwanz	Alopecurus alpinus Vill.
Alpen-Gänsekresse	Arabis alpina
Alpen-Gänsekresse	Arabis alpina agg.
Alpen-Gänsekresse	Arabis alpina L.
Alpen-Gänsekresse	Arabis alpina L. s. str.
Alpen-Gänsekresse	Arabis alpina L. s.l.
Alpen-Gänsekresse	Arabis alpina L. s.str.
Alpen-Gänsekresse	Arabis alpina subsp. alpina
Alpen-Geissblatt	Lonicera alpigena
Alpen-Geissblatt	Lonicera alpigena L.
Alpen-Gelbling	Sibbaldia procumbens
Alpen-Gelbling	Sibbaldia procumbens L.
Alpen-Gelbsegge	Carex flava
Alpen-Gelbsegge	Carex flava var. alpina
Alpen-Gemskresse	Pritzelago alpina
Alpen-Gemskresse	Pritzelago alpina (L.) Kuntze s.str.
Alpen-Geruchgras	Anthoxanthum alpinum
Alpen-Geruchgras	Anthoxanthum alpinum Á. Löve & D. Löve
Alpen-Glocken-Enzian	Gentiana alpina
Alpen-Glocken-Enzian	Gentiana alpina Vill.
Alpen-Glockenblume	Campanula alpina
Alpen-Glockenblume	Campanula alpina Jacq.
Alpen-Goldhafer	Trisetum alpestre
Alpen-Goldregen	Laburnum alpinum
Alpen-Goldregen	Laburnum alpinum (Mill.) Bercht. & J. Presl
Alpen-Goldrute	Solidago virgaurea
Alpen-Goldrute	Solidago virgaurea subsp. minuta
Alpen-Goldrute	Solidago virgaurea subsp. minuta (L.) Arcang.
Alpen-Grannenhafer	Trisetum alpestre
Alpen-Grannenhafer	Trisetum alpestre (Host) P. Beauv.
Alpen-Grasnelke	Armeria alpina
Alpen-Grasnelke	Armeria alpina Willd.
Alpen-Grasnelke	Armeria alpina Willd. s.str.
Alpen-Grasnelke	Armeria alpina Willd. subsp. alpina
Alpen-Greiskraut	Senecio alpinus
Alpen-Greiskraut	Senecio alpinus (L.) Scop.
Alpen-Haarbinse	Trichophorum alpinum
Alpen-Haarbinse	Trichophorum alpinum (L.) Pers.
Alpen-Haargras	Trichophorum alpinum
Alpen-Haargras	Trichophorum alpinum (L.) Pers.
Alpen-Haarried	Trichophorum alpinum
Alpen-Haarried	Trichophorum alpinum (L.) Pers.
Alpen-Haarsimse	Trichophorum alpinum
Alpen-Haarsimse	Trichophorum alpinum (L.) Pers.
Alpen-Habichtskraut	Hieracium alpinum
Alpen-Habichtskraut	Hieracium alpinum L.
Alpen-Hagrose	Rosa pendulina
Alpen-Hagrose	Rosa pendulina L.
Alpen-Hahnenfuss	Ranunculus alpestris
Alpen-Hahnenfuß	Ranunculus alpestris
Alpen-Hahnenfuß	Ranunculus alpestris agg.
Alpen-Hahnenfuss	Ranunculus alpestris L.
Alpen-Hahnenfuß	Ranunculus alpestris L.
Alpen-Hainsimse	Luzula alpina
Alpen-Hainsimse	Luzula alpina Hoppe
Alpen-Hauswurz	Sempervivum tectorum
Alpen-Hauswurz	Sempervivum tectorum subsp. alpinum (Griseb. & Schenk) Arcang.
Alpen-Heckenkirsche	Lonicera alpigena
Alpen-Heckenkirsche	Lonicera alpigena L.
Alpen-Heilglöckchen	Cortusa matthioli
Alpen-Helmkraut	Scutellaria alpina
Alpen-Helmkraut	Scutellaria alpina L.
Alpen-Helmkraut.	Scutellaria alpina
Alpen-Helmkraut.	Scutellaria alpina L.
Alpen-Hexenkraut	Circaea alpina
Alpen-Hexenkraut	Circaea alpina L.
Alpen-Hornklee	Lotus alpinus
Alpen-Hornklee	Lotus alpinus (DC.) Ramond
Alpen-Hornkraut	Cerastium alpinum
Alpen-Hornkraut	Cerastium alpinum agg.
Alpen-Hornkraut	Cerastium alpinum L.
Alpen-Hornkraut	Cerastium alpinum L. s.l.
Alpen-Hornkraut	Cerastium alpinum subsp. alpinum
Alpen-Johannisbeere	Ribes alpinum
Alpen-Johannisbeere	Ribes alpinum L.
Alpen-Kälberkropf	Chaerophyllum hirsutum
Alpen-Kälberkropf	Chaerophyllum hirsutum subsp. villarsii
Alpen-Klappertopf	Rhinanthus alpinus
Alpen-Klatschnelke	Silene vulgaris
Alpen-Klatschnelke	Silene vulgaris subsp. glareosa (Jord.) Marsden-Jones & Turrill
Alpen-Klee	Trifolium alpinum
Alpen-Klee	Trifolium alpinum L.
Alpen-Knäuel	Scleranthus annuus
Alpen-Knäuel	Scleranthus annuus subsp. polycarpos (L.) Bonnier & Layens
Alpen-Knorpellattich	Chondrilla chondrilloides
Alpen-Knorpellattich	Chondrilla chondrilloides (Ard.) H. Karst.
Alpen-Knorpelsalat	Chondrilla chondrilloides
Alpen-Knorpelsalat	Chondrilla chondrilloides (Ard.) H. Karst.
Alpen-Knöterich	Aconogonon alpinum
Alpen-Knöterich	Polygonum alpinum
Alpen-Knöterich	Polygonum alpinum All.
Alpen-Kopfblume	Cephalaria alpina
Alpen-Kopfblume	Cephalaria alpina (L.) Roem. & Schult.
Alpen-Kratzdistel	Cirsium spinosissimum
Alpen-Kratzdistel	Cirsium spinosissimum (L.) Scop.
Alpen-Kreuzblümchen	Polygala alpestris
Alpen-Kreuzblume	Polygala alpina
Alpen-Kreuzblume	Polygala alpina (DC.) Steud.
Alpen-Kreuzdorn	Rhamnus alpina
Alpen-Kreuzdorn	Rhamnus alpina L.
Alpen-Kreuzdorn	Rhamnus alpinus
Alpen-Kreuzkraut	Senecio alpinus
Alpen-Kreuzkraut	Senecio alpinus (L.) Scop.
Alpen-Krokus	Crocus albiflorus
Alpen-Küchenschelle	Pulsatilla alpina
Alpen-Küchenschelle	Pulsatilla alpina (L.) Delarbre subsp. alpina
Alpen-Küchenschelle	Pulsatilla alpina subsp. alpina
Alpen-Kuhblume	Taraxacum sect.
Alpen-Kuhblume	Taraxacum sect. Alpina
Alpen-Kuhschelle	Pulsatilla alpina
Alpen-Kuhschelle	Pulsatilla alpina (L.) Delarbre s. l.
Alpen-Kuhschelle	Pulsatilla alpina subsp. alpina
Alpen-Kuhschelle	Pulsatilla alpina subsp. alpina (L.) Delarbre
Alpen-Labkraut	Galium anisophyllon
Alpen-Labkraut	Galium anisophyllon Vill.
Alpen-Laichkraut	Potamogeton alpinus
Alpen-Laichkraut	Potamogeton alpinus Balb.
Alpen-Laichkraut	Potamogeton alpinus Balbis
Alpen-Lattich	Cicerbita alpina
Alpen-Leberbalsam	Erinus alpinus
Alpen-Leimkraut	Silene glareosa
Alpen-Leimkraut	Silene glareosa Jordan
Alpen-Leimkraut	Silene vulgaris
Alpen-Leimkraut	Silene vulgaris subsp. glareosa (Jord.) Marsden-Jones & Turrill
Alpen-Lein	Linum alpinum
Alpen-Lein	Linum alpinum Jacq.
Alpen-Lein	Linum perenne
Alpen-Lein	Linum perenne subsp. alpinum
Alpen-Leinblatt	Thesium alpinum
Alpen-Leinblatt	Thesium alpinum L.
Alpen-Leinkraut	Linaria alpina
Alpen-Leinkraut	Linaria alpina (L.) Mill.
Alpen-Leinkraut	Linaria alpina (L.) Mill. s.l.
Alpen-Leinkraut	Linaria alpina (L.) Mill. s.str.
Alpen-Leinkraut	Linaria alpina (L.) Mill. subsp. alpina
Alpen-Leinkraut	Linaria alpina (L.) Miller
Alpen-Lichtnelke	Lychnis alpina
Alpen-Liebstock	Ligusticum mutellina
Alpen-Liebstock	Ligusticum mutellina (L.) Crantz
Alpen-Lieschgras	Phleum alpinum
Alpen-Lieschgras	Phleum alpinum agg.
Alpen-Lieschgras	Phleum alpinum aggr.
Alpen-Lieschgras	Phleum alpinum L.
Alpen-Lieschgras	Phleum alpinum L. s. str.
Alpen-Löwenzahn	Leontodon montanus
Alpen-Löwenzahn	Leontodon montanus Lam.
Alpen-Löwenzahn	Taraxacum alpinum
Alpen-Löwenzahn	Taraxacum alpinum aggr.
Alpen-Löwenzähne	Taraxacum sect.
Alpen-Löwenzähne	Taraxacum sect. Alpina
Alpen-Löwenzähne	Taraxacum sect. Alpina G. E. Haglund
Alpen-Lungenkraut	Pulmonaria mollis
Alpen-Lungenkraut	Pulmonaria mollis subsp. alpigena
Alpen-Lungenkraut	Pulmonaria mollis subsp. alpigena W. Sauer
Alpen-Mannsschild	Androsace alpina
Alpen-Mannsschild	Androsace alpina (L.) Lam.
Alpen-Mannstreu	Eryngium alpinum
Alpen-Mannstreu	Eryngium alpinum L.
Alpen-Margerite	Leucanthemopsis alpina
Alpen-Margerite	Leucanthemopsis alpina (L.) Heywood
Alpen-Maßliebchen	Aster bellidiastrum
Alpen-Mastkraut	Sagina saginoides
Alpen-Mastkraut	Sagina saginoides (L.) H. Karst.
Alpen-Mauerpfeffer	Sedum alpestre
Alpen-Mauerpfeffer	Sedum alpestre Vill.
Alpen-Milchlattich	Cicerbita alpina
Alpen-Milchlattich	Cicerbita alpina (L.) Wallr.
Alpen-Mohn	Papaver alpinum
Alpen-Mohn	Papaver alpinum agg.
Alpen-Mohn	Papaver alpinum aggr.
Alpen-Mohn	Papaver alpinum L.
Alpen-Mutterwurz	Ligusticum mutellina
Alpen-Mutterwurz	Ligusticum mutellina (L.) Crantz
Alpen-Mutterwurz	Mutellina adonidifolia
Alpen-Nelke	Dianthus alpinus
Alpen-Pechnelke	Silene suecica
Alpen-Pechnelke	Silene suecica (Lodd.) Greuter & Burdet
Alpen-Pestwurz	Petasites paradoxus
Alpen-Pestwurz	Petasites paradoxus (Retz.) Baumg.
Alpen-Pfaffenröhrlein	Taraxacum alpinum
Alpen-Pfaffenröhrlein	Taraxacum alpinum aggr.
Alpen-Pimpinelle	Pimpinella alpina
Alpen-Pippau	Crepis alpestris
Alpen-Pippau	Crepis alpestris (Jacq.) Tausch
Alpen-Pracht-Nelke	Dianthus superbus
Alpen-Pracht-Nelke	Dianthus superbus subsp. alpestris
Alpen-Pracht-Nelke	Dianthus superbus subsp. alpestris ?elak.
Alpen-Pracht-Nelke	Dianthus superbus subsp. alpestris (R. Uechtr.) ?elak.
Alpen-Prachtnelke	Dianthus superbus
Alpen-Prachtnelke	Dianthus superbus subsp. alpestris
Alpen-Prachtnelke	Dianthus superbus subsp. alpestris (R. Uechtr.) ?elak.
Alpen-Purpur-Weide	Salix purpurea
Alpen-Purpur-Weide	Salix purpurea subsp. gracilis (Wimm.) Buser
Alpen-Raugras	Achnatherum calamagrostis
Alpen-Raugras	Stipa calamagrostis
Alpen-Rispengras	Poa alpina
Alpen-Rispengras	Poa alpina L.
Alpen-Rose	Rosa pendulina
Alpen-Rose	Rosa pendulina L.
Alpen-Rot-Klee	Trifolium pratense
Alpen-Rot-Klee	Trifolium pratense subsp. nivale
Alpen-Rot-Klee	Trifolium pratense subsp. nivale (Koch) Arcang.
Alpen-Rotklee	Trifolium pratense
Alpen-Rotklee	Trifolium pratense subsp. nivale (Koch) Arcang.
Alpen-Ruchgras	Anthoxanthum alpinum
Alpen-Ruchgras	Anthoxanthum alpinum Á. & D. Löve
Alpen-Ruchgras	Anthoxanthum alpinum Á. Löve & D. Löve
Alpen-Saturei	Acinos alpinus
Alpen-Saturei	Acinos alpinus (L.) Moench
Alpen-Säuerling	Oxyria digyna
Alpen-Säuerling	Oxyria digyna (L.) Hill
Alpen-Schaumkraut	Cardamine alpina
Alpen-Schaumkraut	Cardamine alpina Willd.
Alpen-Schuppenkopf	Cephalaria alpina
Alpen-Schuppenkopf	Cephalaria alpina (L.) Roem. & Schult.
Alpen-Schwarz-Weide	Salix myrsinifolia
Alpen-Schwarz-Weide	Salix myrsinifolia subsp. alpicola auct.
Alpen-Schwingel	Festuca alpina
Alpen-Schwingel	Festuca alpina Suter
Alpen-Seidelbast	Daphne alpina
Alpen-Seidelbast	Daphne alpina L.
Alpen-Silbermantel	Alchemilla alpina
Alpen-Silbermantel	Alchemilla alpina aggr.
Alpen-Skabiosen-Flockenblume	Centaurea scabiosa
Alpen-Skabiosen-Flockenblume	Centaurea scabiosa subsp. alpestris (Hegetschw.) Nyman
Alpen-Skabiosenflockenblume	Centaurea scabiosa
Alpen-Skabiosenflockenblume	Centaurea scabiosa subsp. alpestris
Alpen-Skabiosenflockenblume	Centaurea scabiosa subsp. alpestris (Hegetschw.) Nyman
Alpen-Sockenblume	Epimedium alpinum
Alpen-Sockenblume	Epimedium alpinum L.
Alpen-Sonnenröschen	Helianthemum alpestre
Alpen-Sonnenröschen	Helianthemum alpestre (Jacq.) DC.
Alpen-Sonnenröschen	Helianthemum alpestre agg.
Alpen-Spitzkiel	Oxytropis campestris
Alpen-Spitzkiel	Oxytropis campestris (L.) DC.
Alpen-Spitzkiel	Oxytropis campestris (L.) DC. s.l.
Alpen-Spitzkiel	Oxytropis campestris (L.) DC. s.str.
Alpen-Steinkraut	Alyssum alpestre
Alpen-Steinkraut	Alyssum alpestre L.
Alpen-Steinquendel	Acinos alpinus
Alpen-Steinquendel	Acinos alpinus (L.) Moench
Alpen-Stern-Steinbrech	Saxifraga stellaris
Alpen-Stern-Steinbrech	Saxifraga stellaris subsp. robusta
Alpen-Stiefmütterchen	Viola calcarata
Alpen-Straussgras	Agrostis alpina
Alpen-Straußgras	Agrostis alpina
Alpen-Straußgras	Agrostis alpina agg.
Alpen-Straussgras	Agrostis alpina Scop.
Alpen-Straußgras	Agrostis alpina Scop.
Alpen-Süssklee	Hedysarum hedysaroides
Alpen-Süßklee	Hedysarum hedysaroides
Alpen-Süssklee	Hedysarum hedysaroides (L.) Schinz & Thell.
Alpen-Süßkleen	Hedysarum hedysaroides
Alpen-Tarant	Swertia perennis
Alpen-Tarant	Swertia perennis subsp. alpestris
Alpen-Thymian	Thymus praecox
Alpen-Thymian	Thymus praecox subsp. polytrichus
Alpen-Thymian	Thymus praecox subsp. polytrichus (A. Kern. ex Borbás) Ronniger
Alpen-Tragant	Astragalus alpinus
Alpen-Tragant	Astragalus alpinus L.
Alpen-Troddelblume	Soldanella alpina
Alpen-Troddelblumen	Soldanella alpina
Alpen-Vergissmeinnicht	Myosotis alpestris
Alpen-Vergissmeinnicht	Myosotis alpestris F. W. Schmidt
Alpen-Vermeinkraut	Thesium alpinum
Alpen-Vogelfuß-Segge	Carex ornithopodioides
Alpen-Vogelfußsegge	Carex ornithopoda
Alpen-Vogelfußsegge	Carex ornithopoda var. castanea
Alpen-Wachsblume	Cerinthe glabra
Alpen-Wachsblume	Cerinthe glabra Mill.
Alpen-Waldfarn	Athyrium distentifolium
Alpen-Waldfarn	Athyrium distentifolium Opiz
Alpen-Waldhirse	Milium effusum
Alpen-Waldhirse	Milium effusum subsp. alpicola Chrtek
Alpen-Waldrebe	Clematis alpina
Alpen-Waldrebe	Clematis alpina (L.) Mill.
Alpen-Wegerich	Plantago alpina
Alpen-Wegerich	Plantago alpina L.
Alpen-Weide	Salix alpina
Alpen-Weide	Salix alpina Scop.
Alpen-Weidenröschen	Epilobium anagallidifolium
Alpen-Weidenröschen	Epilobium anagallidifolium Lam.
Alpen-Wiesen-Kerbel	Anthriscus sylvestris
Alpen-Wiesen-Kerbel	Anthriscus sylvestris subsp. alpinus
Alpen-Wiesenhafer	Helictotrichon praeustum
Alpen-Wiesenhafer	Helictotrichon praeustum (Rchb.) Tzvelev
Alpen-Wiesenraute	Thalictrum alpinum
Alpen-Wiesenraute	Thalictrum alpinum L.
Alpen-Wimperfarn	Woodsia alpina
Alpen-Wimperfarn	Woodsia alpina (Bolton) Gray
Alpen-Wollkraut	Verbascum alpinum
Alpen-Wollkraut	Verbascum alpinum Turra
Alpen-Wundklee	Anthyllis vulneraria
Alpen-Wundklee	Anthyllis vulneraria ssp alpestris
Alpen-Wundklee	Anthyllis vulneraria subsp. alpestris
Alpen-Wundklee	Anthyllis vulneraria subsp. alpestris (Schult.) Asch. & Graebn.
Alpen-Wurmfarn	Dryopteris expansa
Alpen-Wurmfarn	Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy
Alpen-Zeitlose	Colchicum alpinum
Alpen-Zeitlose	Colchicum alpinum DC.
Alpen-Ziest	Stachys alpina
Alpen-Ziest	Stachys alpina L.
Alpen-Ziest	Stachys pradica
Alpen-Ziest	Stachys pradica (Zanted.) Greuter & Pignatti
Alpen-Zwergbuchs	Polygala chamaebuxus
Alpenakelei	Aquilegia alpina
Alpenaster	Aster alpinus
Alpenaugentrost	Euphrasia alpina
Alpenaugentrost	Euphrasia alpina Lam.
Alpenaurikel	Primula auricula
Alpenaurikel	Primula auricula L.
Alpenazalee	Loiseleuria
Alpenazalee	Loiseleuria procumbens
Alpenazalee	Loiseleuria procumbens (L.) Desv.
Alpenbalsam	Erinus alpinus
Alpenbalsam	Erinus alpinus var. albus
Alpenberufkraut	Erigeron alpinus
Alpenberufkraut	Erigeron alpinus L.
Alpenbewohnendes Habichtskraut	Hieracium alpicola
Alpenbewohnendes Habichtskraut	Hieracium alpicola Steud. & Hochst.
Alpenblacke	Rumex alpinus
Alpenblacke	Rumex alpinus L.
Alpenblasenfarn	Cystopteris alpina
Alpenblasenfarn	Cystopteris alpina (Lam.) Desv.
Alpendistel	Eryngium alpinum
Alpendistel	Eryngium alpinum L.
Alpendost	Adenostyles
Alpenehrenpreis	Veronica alpina
Alpenehrenpreis	Veronica alpina L.
Alpenfetthenne	Sedum alpestre
Alpenfetthenne	Sedum alpestre Vill.
Alpenfettkraut	Pinguicula alpina
Alpenfettkraut	Pinguicula alpina L.
Alpenflachbärlapp	Diphasiastrum alpinum
Alpenflachbärlapp	Diphasiastrum alpinum (L.) Holub
Alpenfrauenmantel	Alchemilla alpina
Alpenfrauenmantel	Alchemilla alpina L.
Alpengänsekresse	Arabis alpina
Alpengänsekresse	Arabis alpina L. s. str.
Alpengelbling	Sibbaldia procumbens
Alpengelbling	Sibbaldia procumbens L.
Alpenglöckchen	Soldanella
Alpenglöckchen	Soldanella alpina
Alpenglöckchen	Soldanella montana
Alpenglöckchen	Soldanella pusilla
Alpenglockenblume	Campanula alpina
Alpenglockenblume	Campanula alpina Jacq.
Alpengoldregen	Laburnum alpinum
Alpengoldrute	Solidago virgaurea
Alpengoldrute	Solidago virgaurea subsp. minuta (L.) Arcang.
Alpengreiskraut	Senecio alpinus
Alpengreiskraut	Senecio alpinus (L.) Scop.
Alpenhaarsimse	Trichophorum alpinum
Alpenhaarsimse	Trichophorum alpinum (L.) Pers.
Alpenhabichtskraut	Hieracium alpinum
Alpenhabichtskraut	Hieracium alpinum L.
Alpenhahnenfuß	Ranunculus alpestris
Alpenhahnenfuß	Ranunculus alpestris L.
Alpenhainsimse	Luzula alpina
Alpenhainsimse	Luzula alpina Hoppe
Alpenheckenkirsche	Lonicera alpigena
Alpenhelm	Bartsia
Alpenhelm	Bartsia alpina
Alpenhelm	Bartsia alpina L.
Alpenhexenkraut	Circaea alpina
Alpenhexenkraut	Circaea alpina L.
Alpenhornkraut	Cerastium alpinum
Alpenhornkraut	Cerastium alpinum L.
Alpenjohannisbeere	Ribes alpinum
Alpenjohannisbeere	Ribes alpinum L.
Alpenklee	Trifolium alpinum
Alpenklee	Trifolium alpinum L.
Alpenknorpellattich	Chondrilla chondrilloides
Alpenknorpellattich	Chondrilla chondrilloides (Ard.) H. Karst.
Alpenkrokus	Crocus vernus
Alpenkuhschelle	Pulsatilla alpina
Alpenkuhschelle	Pulsatilla alpina (L.) Delarbre s. l.
Alpenlaichkraut	Potamogeton alpinus
Alpenlaichkraut	Potamogeton alpinus Balb.
Alpenlattich	Homogyne
Alpenlattich	Homogyne alpina
Alpenlattich	Homogyne alpina (L.) Cass.
Alpenlein	Linum alpinum
Alpenlein	Linum alpinum Jacq.
Alpenleinblatt	Thesium alpinum
Alpenleinblatt	Thesium alpinum L.
Alpenlieschgras	Phleum alpinum
Alpenlieschgras	Phleum alpinum L. s. str.
Alpenlinse	Astragalus penduliflorus
Alpenlinse	Astragalus penduliflorus Lam.
Alpenlöwenzähne	Taraxacum sect.
Alpenlöwenzähne	Taraxacum sect. Alpina G. E. Haglund
Alpenlungenkraut	Pulmonaria mollis
Alpenlungenkraut	Pulmonaria mollis subsp. alpigena W. Sauer
Alpenmannstreu	Eryngium alpinum
Alpenmargerite	Leucanthemopsis
Alpenmargerite	Leucanthemopsis alpina
Alpenmargerite	Leucanthemopsis alpina (L.) Heywood
Alpenmargerite	Leucanthemopsis alpina aggr.
Alpenmasslieb	Aster bellidiastrum
Alpenmasslieb	Aster bellidiastrum (L.) Scop.
Alpenmaßliebchen	Aster bellidiastrum
