Higan-Kirsche	Prunus subhirtella
Himalaja-Fleischbeere	Sarcococca hookeriana var. humilis
Himalaja-Zeder	Cedrus deodara
Himalaja-Zeder 'Paktia'	Cedrus deodara 'Paktia'
Himalaya-Baummispel	Cotoneaster frigidus
Himbeere	Rubus idaeus
Himmelsbambus	Nandina domestica
Hinoki-Scheinzypresse	Chamaecyparis obtusa
Höcker-Kiefer	Pinus attenuata
Holz-Apfel	Malus sylvestris
Holz-Birne	Pyrus pyraster
Holz-Quitte	Pseudocydonia sinensis
Hong-Kong-Orchideenbaum	Bauhinia x blakeana
Honigduftender Rutenstrauch	Osyris alba
Honigglockenbusch	Freylinia lanceolata
Honoki-Magnolie	Magnolia obovata
Hopfenbuche	Ostrya carpinifolia
Hunds-Rose	Rosa canina
Hybrid-Klettertrompete	Campsis x tagliabuana
Hybrid-Lärche	Larix x marschlinsii
Hybrid-Zaubernuss	Hamamelis x intermedia
Immerblühende Akazie	Acacia retinodes
Immergrüne Kriech-Heckenkirsche	Lonicera pileata
Immergrüne Magnolie	Magnolia grandiflora
Immergrüner Kreuzdorn	Rhamnus alaternus
Indianerbanane	Asimina triloba
Indische Lagerstroemie	Lagerstroemia indica
Indische Rosskastanie	Aesculus indica
Italienische Erle	Alnus cordata
Italienische Waldrebe	Clematis viticella
Italienischer Ahorn	Acer opalus ssp. obtusatum
Japanische Blüten-Kirsche	Prunus serrulata 'Kanzan'
Japanische Goldorange	Aucuba japonica
Japanische Hainbuche	Carpinus japonica
Japanische Hemlocktanne	Tsuga diversifolia
Japanische Kaiser-Eiche	Quercus dentata
Japanische Kamelie	Camellia japonica
Japanische Lärche	Larix kaempferi
Japanische Mandel-Kirsche	Prunus tomentosa
Japanische Skimmie	Skimmia japonica
Japanische Walnuss	Juglans ailantifolia
Japanische Zelkove	Zelkova serrata
Japanische Zierquitte	Chaenomeles japonica
Japanische Zimterle	Clethra barbinervis
Japanischer Angelikabaum	Aralia elata
Glyzine	Wisteria floribunda
Japanischer Blauregen	Wisteria floribunda
Japanischer Feuer-Ahorn	Acer japonicum 'Aconitifolium'
Japanischer Liguster	Ligustrum japonicum
Japanischer Papierbusch	Edgeworthia chrysantha
Japanischer Perlschweif	Stachyurus praecox
Japanischer Sagopalmfarn	Cycas revoluta
Japanischer Schlitzahorn	Acer palmatum 'Dissectum Viridis'
Japanischer Schneeball	Viburnum plicatum
Japanischer Schnurbaum	Styphnolobium japonicum
Japanischer Spierstrauch	Spiraea japonica
Japanischer Storaxbaum	Styrax japonicus
Jasminblütiger Nachtschatten	Solanum jasminoides
Jeffrey-Kiefer	Pinus jeffreyi
Jerusalemsdorn	Parkinsonia aculeata
Johannisbrotbaum	Ceratonia siliqua
Julianes Berberitze	Berberis julianae
Kahle Felsenbirne	Amelanchier laevis
Kahle Glanzmispel	Photinia x fraseri
Kakipflaume	Diospyros kaki
Kalifornische Palme	Washingtonia filifera
Kampferbaum	Cinnamomum camphora
Kamtschatka-Heckenkirsche	Lonicera kamtschatica
Kanada-Pappel	Populus x canadensis
Kanadische Hemlock	Tsuga canadensis
Kanadischer Judasbaum	Cercis canadensis
Kanadischer Schneeball	Viburnum lentago
Kap-Bleiwurz	Plumbago auriculata
Kapernstrauch	Capparis spinosa
Kapgeißblatt	Tecoma capensis
Karambole	Averrhoa carambola
Karminroter Zylinderputzer	Callistemon citrinus
Karroo-Akazie	Acacia karroo
Kartoffel-Rose	Rosa rugosa
Kastanienblättrige Eiche	Quercus castaneifolia
Kasuarine	Casuarina stricta
Katsurabaum	Cercidiphyllum japonicum
Kaukasische Flügelnuss	Pterocarya fraxinifolia
Kaukasische Linde	Tilia dasystyla
Kaukasische Mandel	Prunus fenziliana
Kaukasische Zelkove	Zelkova carpinifolia
Kaukasischer Faulbaum	Rhamnus imeretina
Kaukasus-Fichte	Picea orientalis
Kermes-Eiche	Quercus coccifera
Kerzen-Palmlilie	Yucca gloriosa
Kerzenstrauch	Senna didymobotrya
Kirschlorbeer	Prunus laurocerasus
Kirschpflaume	Prunus cerasifera
Kiwi	Actinidia deliciosa
Kleeulme	Ptelea trifoliata
Kleinasiatische Tanne	Abies equi-trojani
Kleine Kranzspiere	Stephanandra incisa
Kletten-Krapp	Rubia peregrina
Klettenfrüchtige Eiche	Quercus macrocarpa
Kletter-Hortensie	Hydrangea petiolaris
Knopfstrauch	Cephalanthus occidentalis
Kobushi-Magnolie	Magnolia kobus
Kocks Bauhinie	Bauhinia kockiana
Kokospalme	Cocos nucifera
Kolchische Pimpernuss	Staphylea colchica
Kolchischer Ahorn	Acer cappadocicum
Kolkwitzie	Kolkwitzia amabilis
Königsnuss	Carya laciniosa
Korallenbaum	Erythrina crista-galli
Korb-Weide	Salix viminalis
Korea-Kiefer	Pinus koraiensis
Korea-Tanne	Abies koreana
Koreanische Berberitze	Berberis koreana
Koreanischer Schlangenhaut-Ahorn	Acer tegmentosum
Koreanischer Schneeball	Viburnum carlesii
Kork-Eiche	Quercus suber
Korkenzieher-Hasel	Corylus avellana 'Contorta'
Korkenzieher-Weide	Salix matsudana 'Tortuosa'
Kornelkirsche	Cornus mas
Korsische Kiefer	Pinus nigra var. laricio
Krausblättriger Klebsame	Pittosporum undulatum
Krause Zistrose	Cistus crispus
Kretische Zistrose	Cistus incanus ssp. creticus
Kretischer Ahorn	Acer sempervirens
Krim-Linde	Tilia x euchlora
Kugelblütiger Sommerflieder	Buddleja globosa
Kultur-Apfel	Malus domestica
Kultur-Birne	Pyrus communis
Kultur-Stachelbeere	Ribes uva-crispa var. sativum
Kumquat	Fortunella margarita
Kupfer-Felsenbirne	Amelanchier lamarckii
